PCB_connector,PCB_pin,Net,External_module,Module_pin_name
J3,1,I_RAW1,mACS1,VOUT
J3,2,GND,mACS1,GND
J3,3,+3V3_SENS,mACS1,VCC
J4,1,I_RAW2,mACS2,VOUT
J4,2,GND,mACS2,GND
J4,3,+3V3_SENS,mACS2,VCC
J5,1,+3V3_SENS,mACS3,VCC
J5,2,I_RAW3,mACS3,VOUT
J5,3,GND,mACS3,GND
J6,1,GND,mSW1,GND
J6,2,SW1_ON,mSW1,ON
J7,1,GND,mSW2,GND
J7,2,SW2_ON,mSW2,ON
J8,1,RELAY_IN1,mREL2,IN1
J8,2,GND,mREL2,GND
J8,3,RELAY_IN2,mREL2,IN2
J8,4,+5V_RELAY_VCC,mREL2,VCC
J8,5,+5V_RELAY_COIL,mREL2,JD_VCC
J9,1,DPS_TX,mDPS1,R_RXI
J9,2,DPS_RX,mDPS1,T_TXO
J9,3,GND,mDPS1,G_UART
J10,1,+3V3,mOLED1,VDD
J10,2,SCL,mOLED1,SCK
J10,3,SDA,mOLED1,SDA
J10,4,GND,mOLED1,GND
J11,1,GND,SW1,2
J11,2,BTN,SW1,1
X4,1,OW,T1;T2,DATA
X4,2,+3V3,T1;T2,VCC
X4,3,GND,T1;T2,GND
