Reference,Pin,Pin_name,Net,Board,Local_x_mm,Local_y_mm
X4,1,2,OW,A,60.0,59.0
X4,2,1,+3V3,A,65.0,59.0
X4,3,3,GND,A,70.0,59.0
C5,1,1,U_LOAD,B,69.46,23.0
C5,1,1,U_LOAD,B,70.1,23.0
C5,2,2,GND,B,73.9,23.0
C5,2,2,GND,B,74.54,23.0
J30,1,+3V3,+3V3,C,20.0,27.0
J30,2,GND,GND,C,22.54,27.0
R6,1,1,U_LOAD,B,77.0,31.9
R6,2,2,GND,B,77.0,28.1
J32,1,I_B1,I_B1,B,30.0,16.0
J32,2,I_B2,I_B2,B,32.54,16.0
J32,3,U_B1,U_B1,B,35.08,16.0
J32,4,U_B2,U_B2,B,37.62,16.0
J32,5,GND,GND,B,40.16,16.0
VD2,1,K,VIN_DC,D,25.81,21.0
VD2,2,A,B2,D,18.19,21.0
J20,1,+3V3,+3V3,A,64.0,12.0
J20,2,GND,GND,A,64.0,14.54
J20,3,SCL,SCL,A,64.0,17.08
J20,4,SDA,SDA,A,64.0,19.62
X2,1,1,VIN_DC,D,27.0,8.0
X2,2,2,GND,D,32.0,8.0
J3,1,VOUT,I_RAW1,B,7.0,50.0
J3,2,GND,GND,B,7.0,52.54
J3,3,VCC,+3V3_SENS,B,7.0,55.08
J10,1,2,+3V3,A,63.0,8.0
J10,2,3,SCL,A,65.54,8.0
J10,3,4,SDA,A,68.08,8.0
J10,4,1,GND,A,70.62,8.0
R4,1,1,U_B2,B,50.0,40.9
R4,2,2,GND,B,50.0,37.1
R2,1,1,U_B1,B,42.0,40.9
R2,2,2,GND,B,42.0,37.1
Q1,1,C,RELAY_IN1,A,9.46,49.0
Q1,2,B,BASE1,A,12.0,51.54
Q1,3,E,GND,A,14.54,49.0
C3,1,1,U_B1,B,39.46,32.0
C3,1,1,U_B1,B,40.1,32.0
C3,2,2,GND,B,43.9,32.0
C3,2,2,GND,B,44.54,32.0
C12,1,1,+3V3_SENS,C,31.0,26.54
C12,1,1,+3V3_SENS,C,31.0,25.9
C12,2,2,GND,C,31.0,22.1
C12,2,2,GND,C,31.0,21.46
C8,1,1,I_B2,B,30.46,29.0
C8,1,1,I_B2,B,31.1,29.0
C8,2,2,GND,B,34.9,29.0
C8,2,2,GND,B,35.54,29.0
R11,1,1,BASE3,C,21.1,21.0
R11,2,2,+3V3,C,24.9,21.0
X5,1,1,LOAD+,B,80.0,46.0
R7,1,1,I_RAW1,B,20.0,44.9
R7,2,2,I_B1,B,20.0,41.1
C7,1,1,I_B1,B,24.46,36.0
C7,1,1,I_B1,B,25.1,36.0
C7,2,2,GND,B,28.9,36.0
C7,2,2,GND,B,29.54,36.0
J22,1,+3V3,+3V3,A,22.0,24.7
