Board,X_mm,Y_mm,Drill_mm,References
A,3.5,3.5,3.4,H1.
A,3.5,76.5,3.4,H3.
A,5.0,12.0,0.8,J5.1
A,5.0,14.54,0.8,J5.2
A,5.0,17.08,0.8,J5.3
A,5.0,24.0,1.5,X5.1
A,6.0,52.0,0.8,J8.1
A,6.0,54.54,0.8,J8.2
A,6.0,57.08,0.8,J8.3
A,6.0,59.62,0.8,J8.4
A,6.0,62.16,0.8,J8.5
A,11.46,40.5,0.8,Q3.1
A,12.46,50.0,0.8,Q1.1
A,12.46,58.0,0.8,Q2.1
A,14.0,43.04,0.8,Q3.2
A,15.0,52.54,0.8,Q1.2
A,15.0,60.54,0.8,Q2.2
A,16.54,40.5,0.8,Q3.3
A,17.0,28.0,0.8,J11.1
A,17.54,50.0,0.8,Q1.3
A,17.54,58.0,0.8,Q2.3
A,18.46,32.32,0.8,J6.2
A,18.46,35.8,0.8,J7.2
A,19.54,28.0,0.8,J11.2
A,21.0,32.32,0.8,J6.1
A,21.0,35.8,0.8,J7.1
A,23.0,21.46,0.8,C5.1
A,23.0,26.54,0.8,C5.2
A,25.0,9.46,0.8,C9.2
A,25.0,14.54,0.8,C9.1
A,32.0,12.0,0.8,J1.1
A,32.0,14.54,0.8,J1.2
A,32.0,17.08,0.8,J1.3
A,32.0,19.62,0.8,J1.4
A,32.0,22.16,0.8,J1.5
A,32.0,24.7,0.8,J1.6
A,32.0,27.24,0.8,J1.7
A,32.0,29.78,0.8,J1.8
A,32.0,32.32,0.8,J1.9
A,32.0,34.86,0.8,J1.10
A,32.0,37.4,0.8,J1.11
A,32.0,39.94,0.8,J1.12
A,32.0,42.48,0.8,J1.13
A,32.0,45.02,0.8,J1.14
A,32.0,47.56,0.8,J1.15
A,32.0,50.1,0.8,J1.16
A,32.0,52.64,0.8,J1.17
A,32.0,55.18,0.8,J1.18
A,32.0,57.72,0.8,J1.19
A,32.0,70.0,1.5,X3.1
A,37.0,70.0,1.5,X3.2
A,43.0,74.0,0.8,J12.1
A,45.54,74.0,0.8,J12.2
A,48.08,74.0,0.8,J12.3
A,50.62,74.0,0.8,J12.4
A,53.16,74.0,0.8,J12.5
A,55.7,74.0,0.8,J12.6
A,57.0,63.0,1.5,X4.1
A,57.4,12.0,0.8,J1.20
A,57.4,14.54,0.8,J1.21
A,57.4,17.08,0.8,J1.22
A,57.4,19.62,0.8,J1.23
A,57.4,22.16,0.8,J1.24
A,57.4,24.7,0.8,J1.25
A,57.4,27.24,0.8,J1.26
A,57.4,29.78,0.8,J1.27
A,57.4,32.32,0.8,J1.28
A,57.4,34.86,0.8,J1.29
A,57.4,37.4,0.8,J1.30
A,57.4,39.94,0.8,J1.31
A,57.4,42.48,0.8,J1.32
A,57.4,45.02,0.8,J1.33
A,57.4,47.56,0.8,J1.34
A,57.4,50.1,0.8,J1.35
A,57.4,52.64,0.8,J1.36
A,57.4,55.18,0.8,J1.37
A,57.4,57.72,0.8,J1.38
A,62.0,63.0,1.5,X4.2
A,65.0,45.0,0.8,J9.1
A,65.0,47.54,0.8,J9.2
A,65.0,50.08,0.8,J9.3
A,66.0,8.0,0.8,J10.1
A,66.46,18.54,0.8,C6.1
A,67.0,63.0,1.5,X4.3
A,67.0,72.0,1.5,X2.1
A,68.54,8.0,0.8,J10.2
A,71.08,8.0,0.8,J10.3
A,71.54,18.54,0.8,C6.2
A,72.0,44.76,0.8,C3.1
A,72.0,49.84,0.8,C3.2
A,72.0,54.46,0.8,C4.1
A,72.0,59.54,0.8,C4.2
A,72.0,72.0,1.5,X2.2
A,73.19,65.0,1.1,VD1.1
A,73.19,68.5,1.1,VD2.1
A,73.62,8.0,0.8,J10.4
A,77.0,16.0,0.8,J2.1
A,77.0,18.54,0.8,J2.2
A,77.0,21.08,0.8,J2.3
A,77.0,23.62,0.8,J2.4
A,77.0,26.16,0.8,J2.5
A,77.0,28.7,0.8,J2.6
A,77.0,31.24,0.8,J2.7
A,77.0,33.78,0.8,J2.8
A,77.0,36.32,0.8,J2.9
A,77.0,38.86,0.8,J2.10
A,77.0,41.76,0.8,C7.1
A,77.0,46.84,0.8,C7.2
A,80.81,65.0,1.1,VD1.2
A,80.81,68.5,1.1,VD2.2
A,82.0,72.0,1.5,X1.1
A,87.0,72.0,1.5,X1.2
A,89.0,44.96,0.8,C8.1
A,89.0,50.04,0.8,C8.2
A,92.0,72.0,1.5,X1.3
A,94.0,46.0,0.8,J3.1
A,94.0,48.54,0.8,J3.2
A,94.0,51.08,0.8,J3.3
A,94.0,58.0,0.8,J4.1
A,94.0,60.54,0.8,J4.2
A,94.0,63.08,0.8,J4.3
A,96.5,3.5,3.4,H2.
A,96.5,76.5,3.4,H4.
