Reference,Documentation_alias,Value,Quantity,Location,Populate
J1,,DevKitC_38_socket_mMCU,1,A,yes
J2,,ADS1115_0x48_EXTERNAL,1,external,yes
J3,,ACS1_3WIRE,1,B,yes
J4,,ACS2_3WIRE,1,B,yes
J5,,ACS3_3WIRE,1,B,yes
J6,,SW1_GND_ON,1,A,yes
J7,,SW2_GND_ON,1,A,yes
J8,,RELAY,1,D,yes
J9,,DPS_UART,1,A,yes
J10,,OLED_I2C,1,A,yes
J11,,BUTTON,1,A,yes
J12,,SPI,1,A,yes
X1,,B1_B2_GND,1,D,yes
X2,,VIN_DC_GND,1,D,yes
X3,,5V_GND,1,D,yes
X4,,DS18B20,1,A,yes
X5,,U_LOAD_SENSE,1,B,yes
NT1,,COPPER_STAR_AT_X3,1,D,copper only
VD1,,1N5819,1,D,yes
VD2,,1N5819,1,D,yes
R1,,100k_1%,1,B,yes
R2,,10k_1%,1,B,yes
C3,,100n_50V,1,B,yes
R3,,100k_1%,1,B,yes
R4,,10k_1%,1,B,yes
C4,,100n_50V,1,B,yes
R5,,100k_1%,1,B,yes
R6,,4.7k_1%,1,B,yes
C5,,100n_50V,1,B,yes
R7,,1k,1,B,yes
C7,,1u_16V,1,B,yes
R8,,1k,1,B,yes
C8,,1u_16V,1,B,yes
R9,,1k,1,B,yes
C9,,1u_16V,1,B,yes
C6,,100n_16V,1,external,yes
R10,,4.7k,1,C,yes
R11,,10k,1,C,yes
Q3,,BC557_CBE,1,C,yes
R12,,1k,1,A,yes
R13,,10k,1,A,yes
Q1,,BC547_CBE,1,A,yes
R14,,1k,1,A,yes
R15,,10k,1,A,yes
Q2,,BC547_CBE,1,A,yes
R16,,4.7k,1,A,yes
R17,,4.7k,1,A,yes
R18,,4.7k,1,A,yes
XLP1,XLP,LOAD_P06_P12_P13,1,external,yes
XGND1,XGND,GND_P24_P25_P26_P27_P28,1,external,yes
C1,,100u_50V_ALUMINIUM,1,external,yes
C2,,100n_50V,1,external,yes
D3,,1.5KE33A_DNP,1,external,DNP
XB1,,BAT1_PANEL,1,external,yes
F1,,ATO_15A,1,external,yes
mACS1,,ACS711EX_15.5A,1,external,yes
mSW1,,Pololu_2815_HP,1,external,yes
mDIO1,,XL74610,1,external,yes
XB2,,BAT2_PANEL,1,external,yes
F2,,ATO_15A,1,external,yes
mACS2,,ACS711EX_15.5A,1,external,yes
mSW2,,Pololu_2815_HP,1,external,yes
mDIO2,,XL74610,1,external,yes
mACS3,,ACS711EX_15.5A,1,external,yes
Fout1,Fout,ATO_15A,1,external,yes
XLOAD1,XLOAD,LOAD_PANEL,1,external,yes
XPSU1,XPSU,PSU_33V_10A_PANEL,1,external,yes
mDPS1,mDPS,DPS5015_9600_8N1_ADDR1,1,external,yes
Fchg1,Fchg,ATO_15A,1,external,yes
mDIO3,,XL74610,1,external,yes
mREL2,,FL_3FF_5V_10A_REMOVE_JUMPER,1,external,yes
mDC5,,LM2596_SET_5.0V_FIRST,1,external,yes
mOLED1,mOLED,SSD1306_0x3C,1,external,yes
T1,,DS18B20_PROBE,1,external,yes
T2,,DS18B20_PROBE,1,external,yes
SW1,,PANEL_BUTTON_NO,1,external,yes
J13,,ADS1115_0x49_EXTERNAL,1,external,yes
C10,,100n_16V,1,external,yes
C11,,100n_16V,1,C,yes
C12,,100n_16V,1,C,yes
C13,,100n_16V,1,D,yes
J20,,LINK_+3V3_GND_SCL_SDA,1,A,yes
J21,,LINK_+3V3_GND_SCL_SDA,1,A,yes
J22,,LINK_+3V3_GND_SENS_PWR,1,A,yes
J23,,LINK_+3V3_GND_SENS_PWR,1,C,yes
J24,,LINK_GND_+3V3_SENS,1,C,yes
J25,,LINK_GND_+3V3_SENS,1,B,yes
J26,,LINK_+5V_GND,1,A,yes
J27,,LINK_+5V_GND,1,D,yes
J28,,LINK_RELAY_IN1_RELAY_IN2_GND,1,A,yes
J29,,LINK_RELAY_IN1_RELAY_IN2_GND,1,D,yes
J30,,LINK_+3V3_GND,1,C,yes
J31,,LINK_+5V_GND,1,D,yes
J32,,LINK_I_B1_I_B2_U_B1_U_B2_GND,1,B,yes
J33,,LINK_I_LOAD_U_LOAD_GND,1,B,yes
X6,,BAT_SENSE_TO_B,1,D,yes
X8,,BAT_SENSE_FROM_D,1,B,yes
