Board,X_mm,Y_mm,Drill_mm,References
A,3.5,3.5,3.4,HA1.
A,3.5,74.5,3.4,HA3.
A,7.0,68.0,0.8,J28.1
A,9.46,49.0,0.8,Q1.1
A,9.46,58.0,0.8,Q2.1
A,9.54,68.0,0.8,J28.2
A,10.0,39.0,0.8,J11.1
A,12.0,51.54,0.8,Q1.2
A,12.0,60.54,0.8,Q2.2
A,12.08,68.0,0.8,J28.3
A,12.54,39.0,0.8,J11.2
A,14.54,49.0,0.8,Q1.3
A,14.54,58.0,0.8,Q2.3
A,14.96,31.0,0.8,J6.1
A,14.96,34.0,0.8,J7.1
A,17.5,31.0,0.8,J6.2
A,17.5,34.0,0.8,J7.2
A,22.0,24.7,0.8,J22.1
A,22.0,27.24,0.8,J22.2
A,22.0,29.78,0.8,J22.3
A,28.0,12.0,0.8,J1.1
A,28.0,14.54,0.8,J1.2
A,28.0,17.08,0.8,J1.3
A,28.0,19.62,0.8,J1.4
A,28.0,22.16,0.8,J1.5
A,28.0,24.7,0.8,J1.6
A,28.0,27.24,0.8,J1.7
A,28.0,29.78,0.8,J1.8
A,28.0,32.32,0.8,J1.9
A,28.0,34.86,0.8,J1.10
A,28.0,37.4,0.8,J1.11
A,28.0,39.94,0.8,J1.12
A,28.0,42.48,0.8,J1.13
A,28.0,45.02,0.8,J1.14
A,28.0,47.56,0.8,J1.15
A,28.0,50.1,0.8,J1.16
A,28.0,52.64,0.8,J1.17
A,28.0,55.18,0.8,J1.18
A,28.0,57.72,0.8,J1.19
A,28.0,68.3625,0.8,J26.2
A,30.54,68.3625,0.8,J26.1
A,40.0,72.0,0.8,J12.1
A,42.54,72.0,0.8,J12.2
A,45.08,72.0,0.8,J12.3
A,47.62,72.0,0.8,J12.4
A,50.16,72.0,0.8,J12.5
A,52.7,72.0,0.8,J12.6
A,53.4,12.0,0.8,J1.20
A,53.4,14.54,0.8,J1.21
A,53.4,17.08,0.8,J1.22
A,53.4,19.62,0.8,J1.23
A,53.4,22.16,0.8,J1.24
A,53.4,24.7,0.8,J1.25
A,53.4,27.24,0.8,J1.26
A,53.4,29.78,0.8,J1.27
A,53.4,32.32,0.8,J1.28
A,53.4,34.86,0.8,J1.29
A,53.4,37.4,0.8,J1.30
A,53.4,39.94,0.8,J1.31
A,53.4,42.48,0.8,J1.32
A,53.4,45.02,0.8,J1.33
A,53.4,47.56,0.8,J1.34
A,53.4,50.1,0.8,J1.35
A,53.4,52.64,0.8,J1.36
A,53.4,55.18,0.8,J1.37
A,53.4,57.72,0.8,J1.38
A,60.0,59.0,1.5,X4.1
A,62.0,45.0,0.8,J9.1
A,62.0,47.54,0.8,J9.2
A,62.0,50.08,0.8,J9.3
A,63.0,8.0,0.8,J10.1
A,64.0,12.0,0.8,J20.1
A,64.0,14.54,0.8,J20.2
A,64.0,17.08,0.8,J20.3
A,64.0,19.62,0.8,J20.4
A,65.0,59.0,1.5,X4.2
A,65.54,8.0,0.8,J10.2
A,68.08,8.0,0.8,J10.3
A,70.0,59.0,1.5,X4.3
A,70.62,8.0,0.8,J10.4
A,72.0,12.0,0.8,J21.1
A,72.0,14.54,0.8,J21.2
A,72.0,17.08,0.8,J21.3
A,72.0,19.62,0.8,J21.4
A,74.5,3.5,3.4,HA2.
A,74.5,74.5,3.4,HA4.
B,3.5,3.5,3.4,HB1.
B,3.5,64.5,3.4,HB3.
B,6.0,35.0,0.8,J25.1
B,7.0,50.0,0.8,J3.1
B,7.0,52.54,0.8,J3.2
B,7.0,55.08,0.8,J3.3
B,8.54,35.0,0.8,J25.2
B,24.46,36.0,0.8,C7.1
B,29.54,36.0,0.8,C7.2
B,30.0,16.0,0.8,J32.1
B,30.0,57.0,0.8,J4.1
B,30.46,29.0,0.8,C8.1
B,32.54,16.0,0.8,J32.2
B,32.54,57.0,0.8,J4.2
B,35.08,16.0,0.8,J32.3
B,35.08,57.0,0.8,J4.3
B,35.54,29.0,0.8,C8.2
B,36.0,65.0,1.5,X8.1
B,37.62,16.0,0.8,J32.4
B,39.46,32.0,0.8,C3.1
B,40.16,16.0,0.8,J32.5
B,41.0,65.0,1.5,X8.2
B,43.46,21.0,0.8,C4.1
B,44.54,32.0,0.8,C3.2
B,46.0,65.0,1.5,X8.3
B,48.54,21.0,0.8,C4.2
B,63.0,16.0,0.8,J33.1
B,64.46,30.0,0.8,C9.1
B,65.0,57.0,0.8,J5.1
B,65.54,16.0,0.8,J33.2
B,67.54,57.0,0.8,J5.2
B,68.08,16.0,0.8,J33.3
B,69.46,23.0,0.8,C5.1
B,69.54,30.0,0.8,C9.2
B,70.08,57.0,0.8,J5.3
B,74.54,23.0,0.8,C5.2
B,80.0,46.0,1.5,X5.1
B,82.5,3.5,3.4,HB2.
B,82.5,64.5,3.4,HB4.
C,3.5,3.5,3.4,HC1.
C,3.5,29.5,3.4,HC3.
C,7.0,10.0,0.8,J23.1
C,7.0,12.54,0.8,J23.2
C,7.0,15.08,0.8,J23.3
C,14.46,7.0,0.8,C11.1
C,19.54,7.0,0.8,C11.2
C,20.0,27.0,0.8,J30.1
C,20.46,12.0,0.8,Q3.1
C,22.54,27.0,0.8,J30.2
C,23.0,14.54,0.8,Q3.2
C,25.54,12.0,0.8,Q3.3
C,31.0,21.46,0.8,C12.2
C,31.0,26.54,0.8,C12.1
C,35.0,10.0,0.8,J24.1
C,35.0,12.54,0.8,J24.2
C,39.5,3.5,3.4,HC2.
C,39.5,29.5,3.4,HC4.
D,3.5,3.5,3.4,HD1.
D,3.5,36.5,3.4,HD3.
D,8.0,8.0,1.5,X1.1
D,8.0,32.0,1.5,X6.1
D,10.19,16.0,1.1,VD1.2
D,13.0,8.0,1.5,X1.2
D,13.0,32.0,1.5,X6.2
D,17.81,16.0,1.1,VD1.1
D,18.0,8.0,1.5,X1.3
D,18.0,32.0,1.5,X6.3
D,18.19,21.0,1.1,VD2.2
D,25.81,21.0,1.1,VD2.1
D,27.0,8.0,1.5,X2.1
D,32.0,8.0,1.5,X2.2
D,32.46,14.0,0.8,C13.1
D,32.92,34.0,0.8,J29.3
D,34.0,21.0,0.8,J27.1
D,34.0,27.0,0.8,J31.1
D,35.46,34.0,0.8,J29.2
D,36.54,21.0,0.8,J27.2
D,36.54,27.0,0.8,J31.2
D,37.54,14.0,0.8,C13.2
D,38.0,34.0,0.8,J29.1
D,43.0,8.0,1.5,X3.1
D,48.0,8.0,1.5,X3.2
D,48.0,32.0,0.8,J8.1
D,50.54,32.0,0.8,J8.2
D,53.08,32.0,0.8,J8.3
D,55.62,32.0,0.8,J8.4
D,58.16,32.0,0.8,J8.5
D,59.5,3.5,3.4,HD2.
D,59.5,36.5,3.4,HD4.
