Reference,Pin,Pin_name,Net,Board,Local_x_mm,Local_y_mm
R13,1,1,BASE1,A,20.0,51.1
R13,2,2,GND,A,20.0,54.9
R18,1,1,OW,A,62.0,53.1
R18,2,2,+3V3,A,62.0,56.9
NT1,1,1,+5V,A,32.0,70.0
NT1,2,2,+5V_RELAY_VCC,A,32.0,73.5
NT1,3,3,+5V_RELAY_COIL,A,35.5,73.5
VD1,1,K,VIN_DC,A,73.19,65.0
VD1,2,A,B1,A,80.81,65.0
C3,1,1,U_B1,A,72.0,44.76
C3,1,1,U_B1,A,72.0,45.4
C3,2,2,GND,A,72.0,49.2
C3,2,2,GND,A,72.0,49.84
X4,1,2,OW,A,57.0,63.0
X4,2,1,+3V3,A,62.0,63.0
X4,3,3,GND,A,67.0,63.0
J9,1,2,DPS_TX,A,65.0,45.0
J9,2,3,DPS_RX,A,65.0,47.54
J9,3,1,GND,A,65.0,50.08
X2,1,1,VIN_DC,A,67.0,72.0
X2,2,2,GND,A,72.0,72.0
J2,1,VDD,+3V3,A,77.0,16.0
J2,2,GND,GND,A,77.0,18.54
J2,3,SCL,SCL,A,77.0,21.08
J2,4,SDA,SDA,A,77.0,23.62
J2,5,ADDR,GND,A,77.0,26.16
J2,6,ALRT,unconnected-(J2-ALRT-Pad6),A,77.0,28.7
J2,7,A0,I_B1,A,77.0,31.24
J2,8,A1,I_B2,A,77.0,33.78
J2,9,A2,U_B1,A,77.0,36.32
J2,10,A3,U_B2,A,77.0,38.86
J10,1,2,+3V3,A,66.0,8.0
J10,2,3,SCL,A,68.54,8.0
J10,3,4,SDA,A,71.08,8.0
J10,4,1,GND,A,73.62,8.0
J6,1,1,GND,A,21.0,32.32
J6,2,2,SW1_ON,A,18.46,32.32
C4,1,1,U_B2,A,72.0,54.46
C4,1,1,U_B2,A,72.0,55.1
C4,2,2,GND,A,72.0,58.9
C4,2,2,GND,A,72.0,59.54
C6,1,1,+3V3,A,66.46,18.54
C6,1,1,+3V3,A,67.1,18.54
C6,2,2,GND,A,70.9,18.54
C6,2,2,GND,A,71.54,18.54
R6,1,1,U_LOAD,A,17.0,25.1
R6,2,2,GND,A,17.0,28.9
C5,1,1,U_LOAD,A,23.0,21.46
C5,1,1,U_LOAD,A,23.0,22.1
C5,2,2,GND,A,23.0,25.9
C5,2,2,GND,A,23.0,26.54
J4,1,VOUT,I_RAW2,A,94.0,58.0
J4,2,GND,GND,A,94.0,60.54
J4,3,VCC,+3V3_SENS,A,94.0,63.08
C9,1,1,I_LOAD,A,25.0,14.54
C9,1,1,I_LOAD,A,25.0,13.9
C9,2,2,GND,A,25.0,10.1
C9,2,2,GND,A,25.0,9.46
R8,1,1,I_RAW2,A,90.9,52.5
R8,2,2,I_B2,A,87.1,52.5
R10,1,1,SENS_PWR,A,28.9,40.0
R10,2,2,BASE3,A,25.1,40.0
J11,1,2,GND,A,17.0,28.0
J11,2,1,BTN,A,19.54,28.0
R16,1,1,SDA,A,73.9,24.0
R16,2,2,+3V3,A,70.1,24.0
X1,1,1,B1,A,82.0,72.0
X1,2,2,B2,A,87.0,72.0
X1,3,3,GND,A,92.0,72.0
J12,1,5,MOSI,A,43.0,74.0
J12,2,2,GND,A,45.54,74.0
J12,3,4,MISO,A,48.08,74.0
J12,4,3,SCK,A,50.62,74.0
J12,5,6,CS,A,53.16,74.0
J12,6,1,+3V3,A,55.7,74.0
Q2,1,C,RELAY_IN2,A,12.46,58.0
Q2,2,B,BASE2,A,15.0,60.54
Q2,3,E,GND,A,17.54,58.0
R7,1,1,I_RAW1,A,84.9,43.0
R7,2,2,I_B1,A,81.1,43.0
R12,1,1,K1,A,28.9,37.4
R12,2,2,BASE1,A,25.1,37.4
R3,1,1,B2,A,88.0,58.9
R3,2,2,U_B2,A,88.0,55.1
J5,1,VCC,+3V3_SENS,A,5.0,12.0
J5,2,VOUT,I_RAW3,A,5.0,14.54
J5,3,GND,GND,A,5.0,17.08
X3,1,1,+5V,A,32.0,70.0
X3,2,2,GND,A,37.0,70.0
J8,1,2,RELAY_IN1,A,6.0,52.0
J8,2,1,GND,A,6.0,54.54
J8,3,3,RELAY_IN2,A,6.0,57.08
J8,4,4,+5V_RELAY_VCC,A,6.0,59.62
J8,5,5,+5V_RELAY_COIL,A,6.0,62.16
R4,1,1,U_B2,A,82.0,58.1
R4,2,2,GND,A,82.0,61.9
R17,1,1,SCL,A,73.9,21.08
R17,2,2,+3V3,A,70.1,21.08
R5,1,1,LOAD+,A,9.1,24.0
R5,2,2,U_LOAD,A,12.9,24.0
Q1,1,C,RELAY_IN1,A,12.46,50.0
Q1,2,B,BASE1,A,15.0,52.54
Q1,3,E,GND,A,17.54,50.0
R14,1,1,K2,A,28.9,47.56
R14,2,2,BASE2,A,25.1,47.56
J3,1,VOUT,I_RAW1,A,94.0,46.0
J3,2,GND,GND,A,94.0,48.54
J3,3,VCC,+3V3_SENS,A,94.0,51.08
R2,1,1,U_B1,A,77.0,51.1
R2,2,2,GND,A,77.0,54.9
R1,1,1,B1,A,82.0,54.9
R1,2,2,U_B1,A,82.0,51.1
J1,1,3V3,+3V3,A,32.0,12.0
J1,2,EN,unconnected-(J1-EN-Pad2),A,32.0,14.54
J1,3,GPIO36,unconnected-(J1-GPIO36-Pad3),A,32.0,17.08
J1,4,GPIO39,I_LOAD,A,32.0,19.62
J1,5,GPIO34,U_LOAD,A,32.0,22.16
J1,6,GPIO35,unconnected-(J1-GPIO35-Pad6),A,32.0,24.7
J1,7,GPIO32,BTN,A,32.0,27.24
J1,8,GPIO33,unconnected-(J1-GPIO33-Pad8),A,32.0,29.78
J1,9,GPIO25,SW1_ON,A,32.0,32.32
J1,10,GPIO26,SW2_ON,A,32.0,34.86
J1,11,GPIO27,K1,A,32.0,37.4
J1,12,GPIO14,SENS_PWR,A,32.0,39.94
J1,13,GPIO12,unconnected-(J1-GPIO12-Pad13),A,32.0,42.48
J1,14,GND,GND,A,32.0,45.02
J1,15,GPIO13,K2,A,32.0,47.56
J1,16,GPIO9,unconnected-(J1-GPIO9-Pad16),A,32.0,50.1
J1,17,GPIO10,unconnected-(J1-GPIO10-Pad17),A,32.0,52.64
J1,18,GPIO11,unconnected-(J1-GPIO11-Pad18),A,32.0,55.18
J1,19,VIN,+5V,A,32.0,57.72
J1,20,GND,GND,A,57.4,12.0
J1,21,GPIO23,MOSI,A,57.4,14.54
J1,22,GPIO22,SCL,A,57.4,17.08
J1,23,GPIO1,unconnected-(J1-GPIO1-Pad23),A,57.4,19.62
J1,24,GPIO3,unconnected-(J1-GPIO3-Pad24),A,57.4,22.16
J1,25,GPIO21,SDA,A,57.4,24.7
J1,26,GND,GND,A,57.4,27.24
J1,27,GPIO19,MISO,A,57.4,29.78
J1,28,GPIO18,SCK,A,57.4,32.32
J1,29,GPIO5,CS,A,57.4,34.86
J1,30,GPIO17,DPS_TX,A,57.4,37.4
J1,31,GPIO16,DPS_RX,A,57.4,39.94
J1,32,GPIO4,OW,A,57.4,42.48
J1,33,GPIO0,unconnected-(J1-GPIO0-Pad33),A,57.4,45.02
J1,34,GPIO2,unconnected-(J1-GPIO2-Pad34),A,57.4,47.56
